field,scope,release,template_or_rule,source_data,manual_override,qa_rule
name,product,V1,Sized A: [Brand] [Model] [Size] [Category]; Unsized B: [Brand] [Model] [Category],normalized brand model size and category,no,No store name; no promo language; no variant attributes; approved brand casing
searchTitle,product,V1,Same generated shape as name by default,normalized brand model size and category,yes,Target 60-70 characters; override persists across syncs
feedTitle,product,V1,Same generated shape as name,normalized brand model size and category,no,Maximum 150 characters; must match visible product identity
shortDescription,product,V1,Two complete grounded sentences targeting about 160 characters,approved product facts and specifications,yes,Unique; not a truncation of longDescription; no unsupported claims or promotional language
longDescription,product,V1,Three to six HTML-safe paragraphs,approved product facts specifications highlights brand and category,yes,Every factual claim traces to a source field
productHighlights,product,V1,Two to ten short factual benefit-oriented bullets,material origin features included items and verified services,yes,Grounded benefit framing; no hyperbole
faqs,product,V2,Inherited category FAQs plus genuinely product-specific additions,approved category and product facts,yes,Visible FAQ content must exactly match FAQPage JSON-LD
selectedOptions,variant_or_modifier,V1,Structured option values drive selectors and price adjustments,BigCommerce option variant and modifier data,no,Never copy selected values into product title fields
specifications,product,V1,Structured section name value records,BigCommerce custom fields and approved normalized data,yes,Variant-sensitive facts live here rather than in static descriptions
sku,new_product,V1,[Category Code]-[Brand Code]-[Sequential or Model Code],maintained category and brand code lists,no,Under 50 characters; collision check; existing SKUs are unchanged
imageFilename,image,V1,[brand]-[model]-[size-if-applicable]-[shot-descriptor].[ext],content-aware image review,no,Lowercase hyphenated unique descriptive filename; no meaningless sequence number
altText,image,V1,Content-aware description under 125 characters ending in punctuation,actual visible image content,yes,No filler phrase; no keyword stuffing; accessibility first
categoryTitleH1_C1,category,V1,[Category Term],approved URL registry label,yes,H1 and title match exactly; target 60-70 only when expansion is justified
categoryTitleH1_C2,curated_category,V2_OR_APPROVED,[Size or Attribute] [Category Term],SEO-approved normalized attribute plus category,yes,Must pass curated-slug criteria and have distinct intent content and inventory
categoryTitleH1_C3,brand_category,V2_OR_APPROVED,[Brand] [Category Term],approved brand and category,yes,Create individually; never generate for every brand/category combination
categoryDescription,category,V1,Two complete grounded sentences targeting about 160 characters,category facts brands inventory and approved services,yes,Unique per page; reused for meta description and visible PLP intro
categoryEditorial,category,MANUAL,Freeform buying guide editorial or trust content below the grid,manually approved editorial sources,yes,Not generated by the categoryDescription template
